sentence,sentiment
This is basically a good shirt,1
"Most of my shirts are Van Huesen, and I appreciate them",1
"However, ithis was advertised and described as a FLEX  collar, and the collar did not stretch nor flex",2
It had labels on it declaring that it was a Flex collar,0
"I have some Van Huesen shirts with flex flex collars, that have a built-in extendable collaf",0
They are good,1
This one did not stretch,2
Otherwise a good shirt,1
I think the supervisor of the guy over in Bangladesh,0
country of origin,0
"told him to put 275 of the ""FLEX COLLAR"" tags on by lunch time, and the worker, perhaps not being literate, worked hard to get them all affixed",1
This shirt replaced a similar Joseph Fees brand dress shirt,0
"I did have to iron it before the first wear, but since then it's been wash, dry, &amp",0
wear with no worries,1
"I wore this shirt to a job interview, and next thing I know I've moved 2000 miles and I'm making more money than I ever have",1
"Idk if that's the shirt's fault, but it certainly didn't hurt anything",0
This is the very first product review that I have ever written and I am 77 years old,0
"I bought two shirts, one white and one blue and they were delivered separately",0
The white one was in original packaging and was perfect,1
apparently by another supplier,0
The blue shirt is the issue,2
It was delivered in a loose package and it looked like someone had been sleeping in it for a week,2
It was completely wrinkled and out of its original packaging,2
My wife wanted me to return it or take it to the cleaners for pressing but I'm not interested in paying someone to do something that should not be needed,2
My wife agreed to iron the shirt so I hope the wrinkles come out but this is ridiculous,2
The sleeves are supposed to be 36-37 inches,2
Not even close,2
Plus the left sleeve is about 2 inches shorter than the right sleeve,2
The right sleeve is about 34 inches and the left is too short to even button,2
Not a good shirt,2
I returned the other shirt and will keep this because I need a dress shirt for a wedding,0
"But, it will be a one time wear and then junk it",2
"I have always liked Van Heusen shirts,",1
"As they fit well, look good too",1
"I particularly like this color, but that_ a personal",1
preference,1
I highly recommend the quality though,1
"Fits perfect, color and texture is great",1
"Is cut nicely, too",1
"For $22, I'd buy this shirt regularly",1
Some of the other colors were priced for a lot more but I won't spend any more for a shirt I wear to work when I can drive to the mall and spend $10 on the clearance rack for dress shirts,0
This is a decent shirt,1
but there are a few things of note about this shirt:,0
Pros:,1
The neck fit is nice with a little stretch,1
Wrinkle free is great,1
Cons:,2
The shirt came with a small black spot on it that doesn't seem to come out in the wash,2
"By ""regular fit"" they mean huge",0
Like really HUGE,0
"If you are not large person you should look for a ""slim fit"" or ""skinny fit""",0
"This is more of a ""regal fit"" in my opinion",0
"The wrinkle free shirt definitely needs to be ironed, but I expected that",0
The flex neck is very comfortable,1
The shirt fits true to size,1
I could probably use more of a tapered fit,0
I_ not a slim fit,0
", but I ordered the regular classic fit which has plenty of room",0
I ordered 4 shirts,0
I will order more like this if I can find other colors in my size,1
Please note: the first two I ordered from Macy_ were a nightmare,2
When they arrived,0
"the white one had two different size sleeves, as well as different style sleeves",0
I wrote a negative review on Macy_ site and returned it to Macy_ in person,2
The salesperson didn_ ask any questions and didn_ care when I told him the issue,2
I did not want them to resell the shirt,2
"18 neck, 32-33 sleeves",0
"So, I ordered 2 more through Amazon",0
"These two arrived together but one was not in it_ original packaging, and was a mess",2
It was scrunched up in a ball and stuffed in a plastic bag,2
I planned on washing/ironing them first anyway and was thankful they fit and had matching,1
correct,1
style sleeves,0
The issue I think was Christmas time shopping over loud  and I believe Van Heusen is going out of business,2
"The neck is to large, I measured against some other shirts I have and it is over an inch bigger",2
It is not a stretch neck as advertised,2
"The sleeves are short, they are 2 to 3 inches shorter than my other shirts with the same sleeve length",2
"I would send it back but I bought it for an event and I had to wear it, now it is going to Goodwill",2
Don't buy this shirt,2
Very comfortable with a nice fit,1
"The colors are bright and bold, which are perfect for me as an elementary teacher",1
"The only negative I've found is that Purple Haze is awfully close to Hearth, which I had ordered previously",2
I believe the camera flash has left it looking a bit brighter in the demo photo above than it actually appears in real life,0
"I was somewhat disappointed when I put it in my closet and noticed that they were very close shades of one another, with Hearth just having a tinge more red than Purple Haze",2
Looks great,1
packaged well,1
"But as it says the neck stretches or whatever, just know I used to wear a 17 1/2 and needed bigger so I got 18 and with the stretch feature I thought I'd be ok",0
But it still just barely fit,0
I can't imagine my neck went up 2 sizes so I wouldn't really take the stretch part to the bank,0
If you think you need a specific size get that or maybe 1/2 bigger,0
The shirt is the same cut as the shirts I_e bought from the brick and mirror store,0
However the _lassic pink is more lavender than pink,0
"I included a picture of what it looks like compared to my husbands actual pink and purple shirts and as you can tell, it_ light purple",0
"It_ fine, I_l keep the shirt, it_ just annoying since I was trying to replace a pink shirt",2
"In a dress shirt, it's all about the collar",0
"Fabric or prints are always overshadowed by either a sad, weak collar that won't standup or like this shirt, a stiff, vertical collar that stands up to a distinctive profile",0
Plenty of room in my 44 inch mid section and 50 inch chest,0
Ordered longer arms because I am heavier in my upper back and the length is roomy by 1 inch but I expect shrinkage by 1/2 inch,0
Great fit,1
"Compre una camisa Van Heusen, recibí algo que no tiene marca no se exactamente que talla es, no es el producto que solicite, decepcionado de la compra pero sobre todo decepcionado de Amazon de no validar la calidad de los productos que ofrecen",0
This is advertised as a new product but it had already been unpacked and had a stain where a pin was reinserted,2
I_e never had a problem with the other van Huesen shirts I_e bought on amazon,0
Over the years I have had difficulty finding a dress or sport shirt that fits me,0
"I have short, strong arms, a full, strong torso, and full muscular, short neck",0
This is a great shirt and I will be ordering more not that I know the fit and quality of fabric,1
Thanks,1
The size is not mentioned so until it arrive all you have is neck and arm length,2
Showing it is a 2x is far more descriptive to know if it will fit,0
I can only wear a 3X or larger,0
Nice material,1
Collar and sleeves fit exactly as expected,1
Body fits OK but could be a little roomier for me,0
"48"" chest, 44"" waist",0
"Not a lot of stretch, but a little",0
Size 17 neck 36/37 sleeve,0
"Soft, wrinkle resistant shirt that fit as required",1
I would recommend this product,1
I probably won't wear this too often because I don't see myself wearing a white dress shirt too often,0
When the next need arises I know this shirt will look good,1
It fit just as described and it looks great,1
You will not be disappointed,1
"Material is good thickness, not too thin like some shirts",1
Breathes ok,1
"this particular material holds hair, lint and dust pretty bad however",2
This is the only color that has done that out of the 4 or 5 shirts i bought from this group,0
The other colors have been ok,1
I bought this for my son,0
"The shirt is very nice quality, good fit and a great color",1
"The price was good, too",1
I would not hesitate to buy it again in another color for him,1
"This shirt is not well made or QC, it looks like they sew the QC label with washing label hence no QC the sewing machine treads on the collar are not uniform, a lot of treads hanging from the collars",2
This button down/dress shirt is very poor quality,2
My brother loves the shirt and it looks so great on him,1
Very well made and easy to wash and dry,1
Limited wrinkles which is awesome,1
Highly recommend,1
the collar does not flex as described,2
I have always got the shirts with expandable buttons but this is not the same,0
It fits ok but these are price point dress shirts for once in a while,0
Same shirts you can get at JC Penny,0
"Finding a black shirt for semi-casual wear seemed like a real task, but Amazon was there once again when the need arose",0
"Looks good, feels great and is much appreciated",1
"Husband needed a couple new work shirts, he found this one &amp",0
he loves the color &amp,1
it fits well,1
Exactly what he needed,1
"The collar on the shirt which was shipped was far too small for my neck, even though I ordered the collar that my neck measures at",2
"Perhaps if they had shipped the correct size shirt, I would be able to have a more favorable opinion",2
Had to iron this shirt so that was a disappointment,2
It food great and is comfortable,1
A different colored shirt that I got last year was made in Indonesia and it fit good,1
"I wanted to get another one in gray, but they were out last year",0
This year's shirt supply is made poorly in Ethiopia and didn't fit well,2
"The button holes and the buttons did not line up properly, so there was a bulge of extra fabric at the top below the collar",2
This is not acceptable,2
Good fit except too big on the arms,0
this white color is Flimsy than the other colored shirts i ordered otherwise still a good buy for the sale price,2
need a t shirt under this otherwise very nice shirt,0
we are pleased,1
These shirts were a great value for our groomsmen,1
They did layer with a solid white tee underneath but overall great fit,0
Very impressed with shirt,1
The fabric is soft and looks very dressy,1
My husband especially liked the collar,1
He said it was very comfortable,1
Just a tad on the large side but could not find a shirt to fit perfectly,0
